type,breed,age_months,weight,health_status,vaccinated,country,price
Bird,AMERICAN GOLDFINCH,2,0.1,1,1,USA,108.7
Bird,AMERICAN GOLDFINCH,45,0.1,1,1,USA,89.81
Bird,AMERICAN GOLDFINCH,47,0.1,1,1,Canada,89.24
Bird,AMERICAN GOLDFINCH,40,0.1,1,1,Canada,84.74
Bird,AMERICAN GOLDFINCH,23,0.1,1,1,USA,97.85
Bird,AMERICAN GOLDFINCH,10,0.1,1,1,Canada,116.89
Bird,AMERICAN GOLDFINCH,12,0.1,1,1,USA,97.12
Bird,AMERICAN GOLDFINCH,11,0.1,2,0,Canada,110.75
Bird,AMERICAN GOLDFINCH,21,0.1,1,1,Canada,102.12
Bird,AMERICAN GOLDFINCH,10,0.1,2,1,Canada,114.98
Bird,AMERICAN GOLDFINCH,3,0.1,2,1,USA,136.58
Bird,AMERICAN GOLDFINCH,33,0.1,2,1,Canada,108.93
Bird,AMERICAN GOLDFINCH,15,0.1,2,1,Canada,104.62
Bird,AMERICAN GOLDFINCH,33,0.1,0,0,USA,64.3
Bird,AMERICAN GOLDFINCH,16,0.1,1,1,Canada,100.64
Bird,AMERICAN GOLDFINCH,54,0.1,0,1,Canada,81.15
Bird,AMERICAN GOLDFINCH,21,0.1,1,0,Canada,100.42
Bird,AMERICAN GOLDFINCH,38,0.1,2,1,Canada,90.73
Bird,AMERICAN GOLDFINCH,29,0.1,0,1,Canada,84.9
Bird,AMERICAN GOLDFINCH,59,0.1,2,1,Canada,101.7
Bird,AMERICAN GOLDFINCH,28,0.1,1,1,USA,93.02
Bird,AMERICAN GOLDFINCH,8,0.1,1,1,Canada,93.92
Bird,AMERICAN GOLDFINCH,12,0.1,1,1,Canada,108.05
Bird,AMERICAN GOLDFINCH,2,0.1,2,1,USA,123.37
Bird,AMERICAN GOLDFINCH,17,0.1,1,1,Canada,92.36
Bird,AMERICAN GOLDFINCH,53,0.1,1,1,Canada,78.15
Bird,AMERICAN GOLDFINCH,53,0.1,2,1,USA,104.92
Bird,AMERICAN GOLDFINCH,19,0.1,2,0,Canada,107.37
Bird,AMERICAN GOLDFINCH,22,0.1,0,1,USA,76.66
Bird,AMERICAN GOLDFINCH,9,0.1,1,1,USA,96.73
Bird,AMERICAN GOLDFINCH,44,0.1,1,0,Canada,77.96
Bird,AMERICAN GOLDFINCH,60,0.1,2,1,Canada,105.33
Bird,AMERICAN GOLDFINCH,7,0.1,1,1,USA,108.48
Bird,AMERICAN GOLDFINCH,6,0.1,2,0,USA,110.57
Bird,AMERICAN GOLDFINCH,11,0.1,1,1,Canada,103.1
Bird,AMERICAN GOLDFINCH,42,0.1,1,1,Canada,96.25
Bird,AMERICAN GOLDFINCH,12,0.1,2,1,Canada,108.92
Bird,AMERICAN GOLDFINCH,36,0.1,0,1,Canada,72.27
Bird,AMERICAN GOLDFINCH,19,0.1,1,1,USA,104.45
Bird,AMERICAN GOLDFINCH,18,0.1,1,1,Canada,104.62
Bird,AMERICAN GOLDFINCH,28,0.1,1,1,USA,89.28
Bird,AMERICAN GOLDFINCH,22,0.1,1,1,Canada,109.31
Bird,AMERICAN GOLDFINCH,6,0.1,2,1,USA,108.52
Bird,AMERICAN GOLDFINCH,31,0.1,0,1,USA,66.15
Bird,AMERICAN GOLDFINCH,18,0.1,0,1,Canada,79.72
Bird,AMERICAN GOLDFINCH,38,0.1,2,0,USA,93.63
Bird,AMERICAN GOLDFINCH,3,0.1,2,1,USA,130.17
Bird,AMERICAN GOLDFINCH,19,0.1,1,1,USA,90.8
Bird,AMERICAN GOLDFINCH,7,0.1,2,1,Canada,110.2
Bird,AMERICAN GOLDFINCH,9,0.1,2,1,USA,115.61
Bird,AMERICAN GOLDFINCH,5,0.1,1,1,USA,122.43
Bird,AMERICAN GOLDFINCH,53,0.1,1,1,USA,92.43
Bird,AMERICAN GOLDFINCH,60,0.1,1,1,Canada,75.06
Bird,AMERICAN GOLDFINCH,26,0.1,0,1,Canada,70.15
Bird,AMERICAN GOLDFINCH,38,0.1,1,1,Canada,91.45
Bird,AMERICAN GOLDFINCH,55,0.1,1,1,Canada,96.64
Bird,AMERICAN GOLDFINCH,5,0.1,2,1,USA,127.55
Bird,AMERICAN GOLDFINCH,9,0.1,1,1,Canada,96.07
Bird,AMERICAN GOLDFINCH,11,0.1,1,0,USA,91.18
Bird,AMERICAN GOLDFINCH,8,0.1,1,1,USA,110.73
Bird,AMERICAN GOLDFINCH,21,0.1,1,1,USA,94.26
Bird,AMERICAN GOLDFINCH,10,0.1,1,1,Canada,93.81
Bird,AMERICAN GOLDFINCH,3,0.1,1,0,USA,102.98
Bird,AMERICAN GOLDFINCH,20,0.1,2,1,Canada,104.3
Bird,AMERICAN GOLDFINCH,6,0.1,2,1,Canada,107.47
Bird,AMERICAN GOLDFINCH,50,0.1,2,1,USA,104.68
Bird,AMERICAN GOLDFINCH,4,0.1,1,1,Canada,116.84
Bird,AMERICAN GOLDFINCH,13,0.1,1,1,Canada,91.85
Bird,AMERICAN GOLDFINCH,5,0.1,0,1,Canada,125.74
Bird,AMERICAN GOLDFINCH,4,0.1,1,0,USA,101.4
Bird,AMERICAN GOLDFINCH,20,0.1,1,1,Canada,105.68
Bird,AMERICAN GOLDFINCH,9,0.1,1,0,Canada,88.63
Bird,AMERICAN GOLDFINCH,16,0.1,1,1,USA,87.14
Bird,AMERICAN GOLDFINCH,2,0.1,1,1,USA,109.3
Bird,AMERICAN GOLDFINCH,11,0.1,0,1,Canada,100.96
Bird,AMERICAN GOLDFINCH,13,0.1,1,1,Canada,93.78
Bird,AMERICAN GOLDFINCH,47,0.1,1,1,USA,81.76
Bird,AMERICAN GOLDFINCH,7,0.1,2,1,Canada,109.66
Bird,AMERICAN GOLDFINCH,8,0.1,2,0,USA,97.76
Bird,AMERICAN GOLDFINCH,7,0.1,1,1,USA,104.79
Bird,AMERICAN GOLDFINCH,39,0.1,2,1,USA,104.07
Bird,AMERICAN GOLDFINCH,60,0.1,2,1,Canada,95.05
Bird,AMERICAN GOLDFINCH,35,0.1,2,1,USA,84.36
Bird,AMERICAN GOLDFINCH,55,0.1,1,1,Canada,91.99
Bird,AMERICAN GOLDFINCH,7,0.1,1,1,Canada,95.65
Bird,AMERICAN GOLDFINCH,23,0.1,2,1,Canada,101.18
Bird,AMERICAN GOLDFINCH,2,0.1,2,0,Canada,132.69
Bird,AMERICAN GOLDFINCH,5,0.1,1,1,Canada,110.31
Bird,AMERICAN GOLDFINCH,44,0.1,0,1,Canada,86.93
Bird,AMERICAN GOLDFINCH,37,0.1,1,1,USA,74.22
Bird,AMERICAN GOLDFINCH,14,0.1,1,1,USA,92.47
Bird,AMERICAN GOLDFINCH,3,0.1,1,1,Canada,123.94
Bird,AMERICAN GOLDFINCH,7,0.1,1,1,Canada,97.13
Bird,AMERICAN GOLDFINCH,16,0.1,1,1,USA,88.7
Bird,AMERICAN GOLDFINCH,56,0.1,0,1,Canada,68.19
Bird,AMERICAN GOLDFINCH,19,0.1,2,1,USA,102.73
Bird,AMERICAN GOLDFINCH,14,0.1,0,1,USA,84.84
Bird,AMERICAN GOLDFINCH,40,0.1,0,1,Canada,88.95
Bird,AMERICAN GOLDFINCH,36,0.1,2,1,USA,84.62
Bird,AMERICAN GOLDFINCH,7,0.1,2,1,USA,124.23
Bird,AMERICAN GOLDFINCH,47,0.1,1,1,USA,86.91
Bird,AMERICAN GOLDFINCH,49,0.1,2,1,USA,101.11
Bird,AMERICAN GOLDFINCH,56,0.1,0,1,Canada,89.03
Bird,AMERICAN GOLDFINCH,44,0.1,0,1,Canada,79.85
Bird,AMERICAN GOLDFINCH,11,0.1,0,1,USA,103.87
Bird,AMERICAN GOLDFINCH,6,0.1,1,1,USA,104.25
Bird,AMERICAN GOLDFINCH,13,0.1,0,1,Canada,87.61
Bird,AMERICAN GOLDFINCH,28,0.1,1,1,Canada,95.66
Bird,AMERICAN GOLDFINCH,4,0.1,1,1,USA,131.47
Bird,AMERICAN GOLDFINCH,10,0.1,1,1,USA,115.02
Bird,BARN OWL,56,0.45,0,1,England,1607.14
Bird,BARN OWL,47,0.59,1,1,England,2274.93
Bird,BARN OWL,12,0.43,1,0,England,2182.49
Bird,BARN OWL,21,0.42,0,1,USA,1809.09
Bird,BARN OWL,4,0.6,1,1,England,3092.6
Bird,BARN OWL,23,0.58,0,1,USA,2172.39
Bird,BARN OWL,28,0.6,2,1,England,2184.6
Bird,BARN OWL,32,0.49,0,1,USA,1804.32
Bird,BARN OWL,54,0.58,1,1,USA,1805.71
Bird,BARN OWL,7,0.51,2,1,USA,2529.64
Bird,BARN OWL,7,0.53,0,0,USA,1720.21
Bird,BARN OWL,18,0.4,2,1,England,2484.03
Bird,BARN OWL,33,0.43,1,1,USA,1731.11
Bird,BARN OWL,9,0.54,1,1,USA,2150.44
Bird,BARN OWL,37,0.54,1,1,USA,1671.6
Bird,BARN OWL,3,0.57,2,1,USA,3161.62
Bird,BARN OWL,8,0.44,0,1,England,2515.96
Bird,BARN OWL,48,0.6,2,0,USA,1710.99
Bird,BARN OWL,11,0.51,1,1,England,2383.05
Bird,BARN OWL,3,0.41,0,1,USA,2514.29
Bird,BARN OWL,49,0.52,1,1,England,2040.31
Bird,BARN OWL,44,0.57,1,1,USA,1888.44
Bird,BARN OWL,56,0.6,1,1,USA,1983.14
Bird,BARN OWL,7,0.4,1,1,USA,2528.65
Bird,BARN OWL,5,0.43,1,1,USA,2599.4
Bird,BARN OWL,35,0.48,0,1,England,1906.9
Bird,BARN OWL,20,0.49,2,1,USA,2299.99
Bird,BARN OWL,35,0.53,1,0,England,1611.59
Bird,BARN OWL,5,0.56,2,0,England,2827.48
Bird,BARN OWL,14,0.41,2,1,England,2509.26
Bird,BARN OWL,19,0.45,2,1,England,2834.4
Bird,BARN OWL,12,0.48,2,1,England,2367.49
Bird,BARN OWL,19,0.41,2,1,USA,2278.78
Bird,BARN OWL,42,0.43,1,1,USA,1938.12
Bird,BARN OWL,29,0.55,1,0,England,1911.58
Bird,BARN OWL,20,0.42,2,0,England,2680.92
Bird,BARN OWL,23,0.51,1,1,USA,2076.6
Bird,BARN OWL,28,0.59,1,0,USA,1626.67
Bird,BARN OWL,13,0.54,1,1,USA,2284.7
Bird,BARN OWL,46,0.58,2,1,England,2395.35
Bird,BARN OWL,23,0.5,1,1,England,2496.49
Bird,BARN OWL,20,0.55,1,1,England,2238.03
Bird,BARN OWL,9,0.41,0,1,USA,1938.01
Bird,BARN OWL,2,0.56,1,1,USA,2602.12
Bird,BARN OWL,7,0.54,1,0,USA,2394.0
Bird,BARN OWL,46,0.43,0,1,USA,1615.87
Bird,BARN OWL,49,0.45,2,0,England,2253.03
Bird,BARN OWL,25,0.55,2,1,England,2546.47
Bird,BARN OWL,5,0.55,2,1,USA,2839.27
Bird,BARN OWL,17,0.44,2,0,England,2177.63
Bird,BARN OWL,9,0.47,1,1,England,2270.87
Bird,BARN OWL,5,0.55,1,1,England,3077.84
Bird,BARN OWL,7,0.54,2,1,USA,2382.07
Bird,BARN OWL,51,0.43,1,1,England,2152.63
Bird,BARN OWL,29,0.58,0,0,USA,1477.6
Bird,BARN OWL,5,0.58,1,1,England,3023.12
Bird,BARN OWL,14,0.51,1,1,England,2513.35
Bird,BARN OWL,54,0.42,0,0,USA,1794.58
Bird,BARN OWL,52,0.51,2,1,England,2331.84
Bird,BARN OWL,25,0.43,2,0,USA,1804.83
Bird,BARN OWL,50,0.55,2,1,England,2556.9
Bird,BARN OWL,32,0.44,1,1,USA,2014.49
Bird,BARN OWL,3,0.45,0,0,England,2837.77
Bird,BARN OWL,60,0.49,0,1,USA,1784.7
Bird,BARN OWL,18,0.58,2,1,USA,2472.39
Bird,BARN OWL,48,0.48,0,1,England,1681.67
Bird,BARN OWL,46,0.44,1,1,England,2283.65
Bird,BARN OWL,3,0.46,2,1,England,2983.32
Bird,BARN OWL,18,0.55,2,1,USA,2612.02
Bird,BARN OWL,2,0.44,2,1,England,3167.91
Bird,BARN OWL,2,0.46,0,1,USA,2684.73
Bird,BARN OWL,25,0.44,2,1,USA,2034.61
Bird,BARN OWL,10,0.56,1,1,England,2513.71
Bird,BARN OWL,35,0.42,1,1,England,2219.85
Bird,BARN OWL,6,0.44,1,1,England,2543.35
Bird,BARN OWL,14,0.6,0,1,USA,2235.97
Bird,BARN OWL,17,0.44,0,1,USA,2060.2
Bird,BARN OWL,46,0.47,1,1,USA,1670.03
Bird,BARN OWL,43,0.5,2,0,USA,2061.63
Bird,BARN OWL,30,0.56,0,1,USA,1505.8
Bird,BARN OWL,9,0.56,0,1,England,2335.95
Bird,BARN OWL,12,0.58,2,1,England,2588.49
Bird,BARN OWL,5,0.55,2,0,England,2844.48
Bird,BARN OWL,34,0.44,2,1,USA,2298.04
Bird,BARN OWL,16,0.5,1,1,England,2580.91
Bird,BARN OWL,59,0.49,0,0,England,1741.48
Bird,BARN OWL,3,0.5,0,1,USA,2678.57
Bird,BARN OWL,22,0.47,1,1,USA,2051.94
Bird,BARN OWL,3,0.5,1,1,England,3111.33
Bird,BARN OWL,58,0.47,2,1,England,2526.76
Bird,BARN OWL,60,0.48,0,1,England,2109.78
Bird,BARN OWL,7,0.4,2,1,England,2598.53
Bird,BARN OWL,7,0.48,0,1,England,2464.95
Bird,BARN OWL,7,0.43,2,1,England,2984.24
Bird,BARN OWL,54,0.46,2,0,USA,1827.98
Bird,BARN OWL,7,0.45,1,1,USA,2088.0
Bird,BARN OWL,42,0.43,0,1,England,1686.74
Bird,BARN OWL,57,0.58,1,1,England,2090.99
Bird,BARN OWL,42,0.41,0,1,England,1930.65
Bird,BARN OWL,48,0.53,1,1,USA,1908.52
Bird,BARN OWL,56,0.54,1,1,England,2049.16
Bird,BARN OWL,10,0.44,1,1,USA,2291.54
Bird,BARN OWL,14,0.46,1,1,England,2306.37
Bird,BARN OWL,48,0.54,0,1,England,1805.03
Bird,BARN OWL,47,0.44,2,1,England,2094.45
Bird,BARN OWL,6,0.51,1,1,England,2310.51
Bird,BARN OWL,25,0.5,2,1,USA,1981.22
Bird,BARN OWL,16,0.52,1,0,USA,2047.13
Bird,BARN OWL,13,0.57,0,1,USA,1764.82
Bird,BARN OWL,25,0.47,2,1,England,2369.34
Bird,BARN OWL,16,0.52,2,1,USA,2188.2
Bird,BARN OWL,12,0.49,1,1,England,2321.85
Bird,BARN OWL,50,0.51,0,1,USA,1594.2
Bird,BARN OWL,51,0.46,1,0,England,1685.89
Bird,BARN OWL,17,0.58,1,0,USA,1995.03
Bird,BARN OWL,14,0.52,2,1,England,2542.06
Bird,BARN OWL,12,0.49,1,1,USA,2366.48
Bird,BARN OWL,7,0.49,1,1,USA,2436.75
Bird,BARN OWL,8,0.45,2,0,USA,2513.13
Bird,BARN OWL,54,0.4,0,0,England,1445.47
Bird,BARN OWL,32,0.52,2,0,England,2280.94
Bird,BARN OWL,17,0.49,1,1,USA,2122.24
Bird,BARN OWL,19,0.43,1,1,England,2501.45
Bird,BARN OWL,45,0.56,2,0,England,2205.7
Bird,BARN OWL,10,0.53,2,1,USA,2645.71
Bird,BARN OWL,51,0.52,1,1,England,1978.73
Bird,BARN OWL,37,0.5,1,1,USA,1869.43
Bird,BARN OWL,48,0.46,2,1,England,2306.9
Bird,BARN OWL,48,0.49,0,1,USA,1962.07
Bird,CARMINE BEE-EATER,34,0.1,2,1,Africa,1285.55
Bird,CARMINE BEE-EATER,40,0.1,0,1,Africa,1042.77
Bird,CARMINE BEE-EATER,16,0.1,1,1,Africa,1311.67
Bird,CARMINE BEE-EATER,43,0.1,2,1,South Africa,1012.24
Bird,CARMINE BEE-EATER,15,0.1,2,1,Africa,1484.25
Bird,CARMINE BEE-EATER,47,0.1,0,1,South Africa,944.52
Bird,CARMINE BEE-EATER,9,0.1,1,1,South Africa,1221.38
Bird,CARMINE BEE-EATER,46,0.1,1,1,South Africa,858.73
Bird,CARMINE BEE-EATER,55,0.1,0,1,South Africa,872.2
Bird,CARMINE BEE-EATER,25,0.1,0,1,South Africa,895.91
Bird,CARMINE BEE-EATER,59,0.1,1,1,South Africa,983.75
Bird,CARMINE BEE-EATER,11,0.1,1,1,South Africa,1146.15
Bird,CARMINE BEE-EATER,3,0.1,1,0,South Africa,1240.74
Bird,CARMINE BEE-EATER,16,0.1,1,0,Africa,1241.51
Bird,CARMINE BEE-EATER,34,0.1,2,1,Africa,1253.98
Bird,CARMINE BEE-EATER,12,0.1,1,0,Africa,1126.12
Bird,CARMINE BEE-EATER,2,0.1,2,1,South Africa,1356.97
Bird,CARMINE BEE-EATER,32,0.1,1,1,South Africa,983.75
Bird,CARMINE BEE-EATER,59,0.1,2,0,South Africa,894.94
Bird,CARMINE BEE-EATER,28,0.1,1,1,South Africa,826.69
Bird,CARMINE BEE-EATER,54,0.1,2,1,South Africa,1123.38
Bird,CARMINE BEE-EATER,3,0.1,2,0,South Africa,1432.17
Bird,CARMINE BEE-EATER,37,0.1,1,1,Africa,1081.38
Bird,CARMINE BEE-EATER,19,0.1,2,1,South Africa,1093.92
Bird,CARMINE BEE-EATER,20,0.1,0,0,South Africa,895.34
Bird,CARMINE BEE-EATER,59,0.1,2,0,South Africa,956.96
Bird,CARMINE BEE-EATER,45,0.1,2,1,Africa,1178.39
Bird,CARMINE BEE-EATER,2,0.1,0,1,South Africa,1285.92
Bird,CARMINE BEE-EATER,8,0.1,2,0,South Africa,1109.85
Bird,CARMINE BEE-EATER,6,0.1,1,1,Africa,1309.93
Bird,CARMINE BEE-EATER,22,0.1,1,1,Africa,1237.08
Bird,CARMINE BEE-EATER,52,0.1,0,0,South Africa,670.32
Bird,CARMINE BEE-EATER,11,0.1,1,1,South Africa,1255.85
Bird,CARMINE BEE-EATER,3,0.1,1,1,Africa,1700.88
Bird,CARMINE BEE-EATER,2,0.1,1,1,South Africa,1281.99
Bird,CARMINE BEE-EATER,10,0.1,1,1,South Africa,1099.95
Bird,CARMINE BEE-EATER,14,0.1,1,1,Africa,1335.91
Bird,CARMINE BEE-EATER,34,0.1,0,0,South Africa,773.01
Bird,CARMINE BEE-EATER,52,0.1,1,1,Africa,1161.46
Bird,CARMINE BEE-EATER,44,0.1,1,1,South Africa,878.8
Bird,CARMINE BEE-EATER,11,0.1,2,1,South Africa,1255.65
Bird,CARMINE BEE-EATER,14,0.1,1,1,Africa,1269.45
Bird,CARMINE BEE-EATER,24,0.1,1,1,South Africa,969.64
Bird,CARMINE BEE-EATER,9,0.1,1,1,Africa,1466.99
Bird,CARMINE BEE-EATER,40,0.1,0,1,Africa,914.71
Bird,CARMINE BEE-EATER,4,0.1,2,1,South Africa,1530.43
Bird,CARMINE BEE-EATER,5,0.1,1,1,South Africa,1294.33
Bird,CARMINE BEE-EATER,7,0.1,0,1,South Africa,1026.09
Bird,CARMINE BEE-EATER,50,0.1,2,1,South Africa,1128.96
Bird,CARMINE BEE-EATER,11,0.1,0,0,South Africa,1121.02
Bird,CARMINE BEE-EATER,8,0.1,2,1,Africa,1509.7
Bird,CARMINE BEE-EATER,2,0.1,1,1,Africa,1507.57
Bird,CARMINE BEE-EATER,27,0.1,1,1,Africa,1133.44
Bird,CARMINE BEE-EATER,18,0.1,2,1,Africa,1509.63
Bird,CARMINE BEE-EATER,47,0.1,0,1,Africa,1128.1
Bird,CARMINE BEE-EATER,28,0.1,1,1,Africa,995.54
Bird,CARMINE BEE-EATER,21,0.1,0,1,South Africa,925.45
Bird,CARMINE BEE-EATER,18,0.1,1,1,South Africa,1012.19
Bird,CARMINE BEE-EATER,49,0.1,1,1,South Africa,824.53
Bird,CARMINE BEE-EATER,3,0.1,1,1,Africa,1493.18
Bird,CARMINE BEE-EATER,36,0.1,0,1,South Africa,745.69
Bird,CARMINE BEE-EATER,48,0.1,1,0,Africa,922.8
Bird,CARMINE BEE-EATER,19,0.1,0,1,Africa,1192.75
Bird,CARMINE BEE-EATER,16,0.1,1,1,South Africa,1214.52
Bird,CARMINE BEE-EATER,20,0.1,2,1,South Africa,1196.58
Bird,CARMINE BEE-EATER,5,0.1,0,0,South Africa,1188.08
Bird,CARMINE BEE-EATER,32,0.1,2,1,Africa,1224.55
Bird,CARMINE BEE-EATER,50,0.1,2,1,South Africa,970.45
Bird,CARMINE BEE-EATER,59,0.1,0,1,South Africa,978.42
Bird,CARMINE BEE-EATER,30,0.1,1,1,South Africa,995.57
Bird,CARMINE BEE-EATER,25,0.1,1,1,South Africa,867.74
Bird,CARMINE BEE-EATER,18,0.1,2,1,Africa,1389.76
Bird,CARMINE BEE-EATER,24,0.1,1,1,Africa,1175.01
Bird,CARMINE BEE-EATER,29,0.1,1,1,Africa,1165.1
Bird,CARMINE BEE-EATER,33,0.1,1,1,Africa,970.83
Bird,CARMINE BEE-EATER,33,0.1,1,0,South Africa,841.7
Bird,CARMINE BEE-EATER,23,0.1,2,1,South Africa,1334.62
Bird,CARMINE BEE-EATER,48,0.1,1,1,Africa,1035.87
Bird,CARMINE BEE-EATER,20,0.1,2,1,Africa,1422.77
Bird,CARMINE BEE-EATER,10,0.1,1,1,South Africa,1268.15
Bird,CARMINE BEE-EATER,35,0.1,1,1,Africa,978.69
Bird,CARMINE BEE-EATER,9,0.1,1,1,South Africa,1054.6
Bird,CARMINE BEE-EATER,15,0.1,2,1,South Africa,1186.77
Bird,CARMINE BEE-EATER,22,0.1,2,1,South Africa,1136.14
Bird,CARMINE BEE-EATER,2,0.1,2,1,South Africa,1568.86
Bird,CARMINE BEE-EATER,20,0.1,1,1,South Africa,1078.68
Bird,CARMINE BEE-EATER,43,0.1,2,1,South Africa,1114.59
Bird,CARMINE BEE-EATER,19,0.1,1,1,Africa,1214.11
Bird,CARMINE BEE-EATER,7,0.1,1,1,South Africa,1204.13
Bird,CARMINE BEE-EATER,20,0.1,2,1,South Africa,1223.54
Bird,CARMINE BEE-EATER,19,0.1,1,0,Africa,1115.18
Bird,CARMINE BEE-EATER,33,0.1,1,1,South Africa,892.98
Bird,CARMINE BEE-EATER,30,0.1,1,1,South Africa,832.26
Bird,CARMINE BEE-EATER,4,0.1,1,1,Africa,1537.99
Bird,CARMINE BEE-EATER,6,0.1,1,1,Africa,1454.57
Bird,CARMINE BEE-EATER,37,0.1,1,1,Africa,1084.36
Bird,CARMINE BEE-EATER,19,0.1,2,1,Africa,1455.72
Bird,CARMINE BEE-EATER,12,0.1,1,0,South Africa,915.29
Bird,CARMINE BEE-EATER,49,0.1,1,0,Africa,1136.51
Bird,CARMINE BEE-EATER,12,0.1,0,1,Africa,1094.81
Bird,CARMINE BEE-EATER,42,0.1,1,1,Africa,1046.14
Bird,CARMINE BEE-EATER,54,0.1,1,1,South Africa,956.54
Bird,CARMINE BEE-EATER,22,0.1,2,0,Africa,1274.9
Bird,CARMINE BEE-EATER,32,0.1,1,1,Africa,990.32
Bird,CARMINE BEE-EATER,30,0.1,1,1,Africa,1038.94
Bird,CARMINE BEE-EATER,9,0.1,2,1,Africa,1610.33
Bird,CARMINE BEE-EATER,4,0.1,1,1,South Africa,1223.12
Bird,CARMINE BEE-EATER,6,0.1,2,0,South Africa,1081.09
Bird,CARMINE BEE-EATER,4,0.1,1,1,Africa,1669.4
Bird,CARMINE BEE-EATER,32,0.1,1,1,Africa,1165.52
Bird,CARMINE BEE-EATER,20,0.1,2,1,Africa,1504.7
Bird,CARMINE BEE-EATER,58,0.1,2,1,South Africa,1092.25
Bird,CARMINE BEE-EATER,2,0.1,1,1,Africa,1484.21
Bird,CARMINE BEE-EATER,36,0.1,1,0,Africa,944.93
Bird,CARMINE BEE-EATER,8,0.1,0,1,South Africa,956.34
Bird,CARMINE BEE-EATER,27,0.1,1,0,Africa,1023.24
Bird,CARMINE BEE-EATER,11,0.1,1,0,South Africa,1015.35
Bird,CARMINE BEE-EATER,10,0.1,1,1,South Africa,1148.49
Bird,CARMINE BEE-EATER,5,0.1,0,1,South Africa,1165.38
Bird,CARMINE BEE-EATER,52,0.1,2,1,Africa,1125.61
Bird,CARMINE BEE-EATER,51,0.1,1,1,South Africa,1012.75
Bird,CARMINE BEE-EATER,3,0.1,2,1,South Africa,1376.29
Bird,CARMINE BEE-EATER,49,0.1,2,0,Africa,1193.9
Bird,CARMINE BEE-EATER,47,0.1,2,1,Africa,1209.75
Bird,CARMINE BEE-EATER,54,0.1,1,1,South Africa,996.22
Bird,CARMINE BEE-EATER,23,0.1,0,1,Africa,1172.86
Bird,CARMINE BEE-EATER,17,0.1,0,1,Africa,1115.54
Bird,CARMINE BEE-EATER,11,0.1,0,1,South Africa,1111.53
Bird,CARMINE BEE-EATER,28,0.1,1,1,Africa,1117.49
Bird,CARMINE BEE-EATER,40,0.1,0,1,South Africa,798.46
Bird,CARMINE BEE-EATER,55,0.1,2,1,South Africa,1061.79
Bird,DOWNY WOODPECKER,19,0.1,0,1,USA,211.24
Bird,DOWNY WOODPECKER,43,0.1,1,1,USA,189.61
Bird,DOWNY WOODPECKER,9,0.1,2,1,USA,301.33
Bird,DOWNY WOODPECKER,18,0.1,0,0,USA,188.42
Bird,DOWNY WOODPECKER,28,0.1,1,1,USA,239.53
Bird,DOWNY WOODPECKER,46,0.1,1,0,Canada,199.85
Bird,DOWNY WOODPECKER,35,0.1,0,1,Canada,191.92
Bird,DOWNY WOODPECKER,54,0.1,2,1,Canada,218.79
